book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
Crazy Love: Overwhelmed by a Relentless God	,  The Hunger Games (The Hunger Games  #1) - 75.00, Catching Fire (The Hunger Games  #2) - 45.18, The Shack - 34.09, The Help - 32.73, The Book Thief - 29.15, To Kill a Mockingbird - 13.94, Twilight (Twilight  #1) - 12.73, Mere Christianity - 12.42, The Girl with the Dragon Tattoo (Millennium  #1) - 12.42, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 12.12 
Crime and Punishment	,  1984 - 81.25, To Kill a Mockingbird - 74.31, The Great Gatsby - 79.29, The Hunger Games (The Hunger Games  #1) - 63.59, The Catcher in the Rye - 60.26, The Book Thief - 57.77, Pride and Prejudice - 62.44, Animal Farm - 55.91, The Alchemist - 55.19, The Handmaid's Tale - 50.12 
Crocodile on the Sandbank (Amelia Peabody #1)	,  The Hunger Games (The Hunger Games  #1) - 68.44, Catching Fire (The Hunger Games  #2) - 50.19, The Guernsey Literary and Potato Peel Pie Society - 47.27, The Girl with the Dragon Tattoo (Millennium  #1) - 46.09, The Help - 45.80, The Book Thief - 45.51, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 36.87, Soulless (Parasol Protectorate  #1) - 38.04, Twilight (Twilight  #1) - 32.58, Water for Elephants - 31.28 
Crooked House	,  And Then There Were None - 74.00, The Murder of Roger Ackroyd (Hercule Poirot  #4) - 35.41, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 30.88, To Kill a Mockingbird - 16.07, The Moving Finger (Miss Marple  #4) - 14.92, The Body in the Library (Miss Marple  #3) - 10.99, Murder on the Orient Express (Hercule Poirot  #10) - 10.71, The Mysterious Affair at Styles (Hercule Poirot  #1) - 10.16, Wuthering Heights - 5.36, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 5.21 
Crooked Little Vein	,  The Hunger Games (The Hunger Games  #1) - 70.24, A Game of Thrones (A Song of Ice and Fire  #1) - 45.88, The Road - 33.59, The Girl with the Dragon Tattoo (Millennium  #1) - 26.67, The Name of the Wind (The Kingkiller Chronicle  #1) - 15.38, Storm Front (The Dresden Files  #1) - 6.46, The Magicians (The Magicians #1) - 6.25, The Book Thief - 0.00, The Curious Incident of the Dog in the Night-Time - 0.00 
Cross (Alex Cross  #12)	,  The Hunger Games (The Hunger Games  #1) - 61.11, Catching Fire (The Hunger Games  #2) - 44.32, Mary - Mary (Alex Cross  #11) - 44.44, Double Cross (Alex Cross  #13) - 39.00, The Girl with the Dragon Tattoo (Millennium  #1) - 31.96, Breaking Dawn (Twilight  #4) - 27.14, Cross Country (Alex Cross  #14) - 22.74, The Help - 20.21, The Girl Who Played with Fire (Millennium  #2) - 18.11, Jack & Jill (Alex Cross  #3) - 21.78 
Cross Country (Alex Cross  #14)	,  Catching Fire (The Hunger Games  #2) - 51.61, Alex Cross's Trial (Alex Cross  #15) - 45.50, I - Alex Cross (Alex Cross  #16) - 45.50, Mary - Mary (Alex Cross  #11) - 44.10, The Hunger Games (The Hunger Games  #1) - 41.30, Violets Are Blue (Alex Cross  #7) - 33.13, Double Cross (Alex Cross  #13) - 26.25, The Girl with the Dragon Tattoo (Millennium  #1) - 22.62, Along Came a Spider (Alex Cross  #1) - 29.81, Cross (Alex Cross  #12) - 28.69 
Cross My Heart and Hope to Spy (Gallagher Girls  #2)	,  Don't Judge a Girl by Her Cover (Gallagher Girls  #3) - 79.21, I'd Tell You I Love You - But Then I'd Have to Kill You (Gallagher Girls  #1) - 73.65, Only the Good Spy Young (Gallagher Girls  #4) - 56.37, Heist Society (Heist Society  #1) - 48.02, The Hunger Games (The Hunger Games  #1) - 41.02, City of Bones (The Mortal Instruments  #1) - 35.59, Catching Fire (The Hunger Games  #2) - 32.03, Anna and the French Kiss (Anna and the French Kiss  #1) - 30.29, Paper Towns - 29.08, If I Stay (If I Stay  #1) - 25.37 
Crossing to Safety	,  The Book Thief - 75.91, The Help - 69.07, Cutting for Stone - 54.97, The Immortal Life of Henrietta Lacks - 53.68, The Guernsey Literary and Potato Peel Pie Society - 51.90, The Girl with the Dragon Tattoo (Millennium  #1) - 44.59, The Hunger Games (The Hunger Games  #1) - 42.22, The Art of Racing in the Rain - 41.90, Water for Elephants - 39.77, Olive Kitteridge - 35.42 
Crossroads of Twilight (Wheel of Time  #10)	,  The Gathering Storm (Wheel of Time  #12) - 55.15, A Crown of Swords (Wheel of Time  #7) - 47.29, Knife of Dreams (Wheel of Time  #11) - 48.71, Winter's Heart (Wheel of Time  #9) - 42.46, The Shadow Rising (Wheel of Time  #4) - 47.07, The Path of Daggers (Wheel of Time  #8) - 39.64, The Great Hunt (Wheel of Time  #2) - 38.77, The Eye of the World (Wheel of Time  #1) - 37.19, Lord of Chaos (Wheel of Time  #6) - 37.53, The Dragon Reborn (Wheel of Time  #3) - 29.49 
Crow Lake	,  The Book Thief - 65.00, The Help - 60.56, The Glass Castle - 34.03, The Guernsey Literary and Potato Peel Pie Society - 28.36, Never Let Me Go - 27.73, Water for Elephants - 24.55, The Hunger Games (The Hunger Games  #1) - 23.44, Still Alice - 20.48, The Kitchen House - 19.52, Olive Kitteridge - 18.57 
Crown Duel (Crown & Court #1-2)	,  The Hunger Games (The Hunger Games  #1) - 68.55, Graceling (Graceling Realm  #1) - 53.88, Shiver (The Wolves of Mercy Falls  #1) - 40.00, City of Bones (The Mortal Instruments  #1) - 36.31, Poison Study (Study  #1) - 33.34, Catching Fire (The Hunger Games  #2) - 23.82, Hush - Hush (Hush - Hush  #1) - 18.36, Book of a Thousand Days - 18.36, Howl's Moving Castle (Howl's Moving Castle  #1) - 17.97, Sunshine - 17.58 
Crucial Conversations: Tools for Talking When Stakes Are High	,  The Hunger Games (The Hunger Games  #1) - 76.56, Catching Fire (The Hunger Games  #2) - 46.07, The Book Thief - 34.62, The Girl with the Dragon Tattoo (Millennium  #1) - 29.23, Water for Elephants - 0.00, Harry Potter and the Order of the Phoenix (Harry Potter  #5) - 0.00 
Cry - the Beloved Country	,  The Book Thief - 78.65, The Hunger Games (The Hunger Games  #1) - 62.79, The Help - 55.14, Life of Pi - 37.33, The Guernsey Literary and Potato Peel Pie Society - 36.92, To Kill a Mockingbird - 34.87, Catching Fire (The Hunger Games  #2) - 31.59, The Glass Castle - 32.43, Cutting for Stone - 31.97, Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time - 29.26 
Cry Wolf (Alpha & Omega  #1)	,  Hunting Ground (Alpha & Omega  #2) - 77.37, Moon Called (Mercy Thompson  #1) - 72.48, Iron Kissed (Mercy Thompson  #3) - 62.33, Blood Bound (Mercy Thompson  #2) - 61.07, Silver Borne (Mercy Thompson  #5) - 55.41, Magic Bites (Kate Daniels  #1) - 48.05, The Hunger Games (The Hunger Games  #1) - 48.17, Halfway to the Grave (Night Huntress  #1) - 44.54, Bone Crossed (Mercy Thompson  #4) - 42.62, Magic Bleeds (Kate Daniels  #4) - 40.03 
Cryptonomicon	,  Snow Crash - 80.45, The Hunger Games (The Hunger Games  #1) - 67.81, Catching Fire (The Hunger Games  #2) - 59.66, American Gods (American Gods  #1) - 54.97, Anathem - 56.96, The Road - 49.47, A Game of Thrones (A Song of Ice and Fire  #1) - 49.77, Ender's Game (Ender's Saga  #1) - 48.54, Old Man's War (Old Man's War  #1) - 48.45, Cloud Atlas - 46.83 
Curse of the Spellmans (The Spellmans  #2)	,  The Spellman Files (The Spellmans  #1) - 71.36, Revenge of the Spellmans (The Spellmans  #3) - 65.28, The Hunger Games (The Hunger Games  #1) - 51.16, The Spellmans Strike Again (The Spellmans  #4) - 47.11, The Help - 40.64, The Guernsey Literary and Potato Peel Pie Society - 39.06, Catching Fire (The Hunger Games  #2) - 35.05, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 28.63, The Girl with the Dragon Tattoo (Millennium  #1) - 26.91, The Girl Who Played with Fire (Millennium  #2) - 22.27 
Curse the Dawn (Cassandra Palmer  #4)	,  Touch the Dark (Cassandra Palmer  #1) - 77.91, Claimed By Shadow (Cassandra Palmer  #2) - 63.13, Halfway to the Grave (Night Huntress  #1) - 49.22, Moon Called (Mercy Thompson  #1) - 47.50, Some Girls Bite (Chicagoland Vampires  #1) - 40.57, Dead in the Family (Sookie Stackhouse  #10) - 42.67, Silver Borne (Mercy Thompson  #5) - 39.76, Magic Bleeds (Kate Daniels  #4) - 33.25, Soulless (Parasol Protectorate  #1) - 28.77, Midnight's Daughter (Dorina Basarab  #1) - 30.57 
Cursor's Fury (Codex Alera  #3)	,  Furies of Calderon (Codex Alera  #1) - 82.09, Academ's Fury (Codex Alera  #2) - 70.37, First Lord's Fury (Codex Alera  #6) - 66.07, Princeps' Fury (Codex Alera  #5) - 61.20, Captain's Fury (Codex Alera  #4) - 59.17, The Hunger Games (The Hunger Games  #1) - 26.58, Changes (The Dresden Files  #12) - 26.60, The Name of the Wind (The Kingkiller Chronicle  #1) - 25.49, Storm Front (The Dresden Files  #1) - 24.67, Fool Moon (The Dresden Files  #2) - 19.75 
Cut	,  Thirteen Reasons Why - 61.82, Catching Fire (The Hunger Games  #2) - 55.25, The Hunger Games (The Hunger Games  #1) - 47.00, The Book Thief - 44.22, The Perks of Being a Wallflower - 35.75, If I Stay (If I Stay  #1) - 33.45, Speak - 39.56, Looking for Alaska - 34.72, Paper Towns - 25.71, Breaking Dawn (Twilight  #4) - 32.67 
Cut & Run (Cut & Run  #1)	,  Zero at the Bone - 73.78, The Hunger Games (The Hunger Games  #1) - 63.83, Outlander (Outlander  #1) - 54.98, Dark Lover (Black Dagger Brotherhood  #1) - 40.00, Darkfever (Fever  #1) - 33.66, Lover Eternal (Black Dagger Brotherhood  #2) - 30.80, Among the Living (PsyCop  #1) - 32.95, Lover Unbound (Black Dagger Brotherhood  #5) - 31.60, Angels' Blood (Guild Hunter  #1) - 29.79, Once Burned (Night Prince  #1) - 29.34 
Cutting for Stone	,  The Help - 77.96, The Hunger Games (The Hunger Games  #1) - 68.77, The Book Thief - 70.31, The Girl with the Dragon Tattoo (Millennium  #1) - 64.09, The Guernsey Literary and Potato Peel Pie Society - 55.64, The Immortal Life of Henrietta Lacks - 51.25, Water for Elephants - 48.90, Catching Fire (The Hunger Games  #2) - 47.66, Little Bee - 42.05, The Glass Castle - 38.82 
Cybele's Secret (Wildwood  #2)	,  Wildwood Dancing (Wildwood  #1) - 74.59, Catching Fire (The Hunger Games  #2) - 38.89, The Hunger Games (The Hunger Games  #1) - 38.74, The Graveyard Book - 28.82, Graceling (Graceling Realm  #1) - 24.89, Fire (Graceling Realm  #2) - 24.23, Shiver (The Wolves of Mercy Falls  #1) - 21.00, Twilight (Twilight  #1) - 15.48, Hush - Hush (Hush - Hush  #1) - 15.24, City of Bones (The Mortal Instruments  #1) - 14.52 
Cycle of the Werewolf	,  It - 69.79, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 53.85, Cell - 45.00, Horns - 41.30, The Stand - 35.62, Carrie - 36.65, Pet Sematary - 35.15, The Shining - 33.65, 'Salem's Lot - 31.22, Rage - 23.44 
Daddy-Long-Legs (Daddy-Long-Legs  #1)	,  The Book Thief - 77.94, Catching Fire (The Hunger Games  #2) - 76.81, The Hunger Games (The Hunger Games  #1) - 61.96, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 52.35, To Kill a Mockingbird - 39.13, Howl's Moving Castle (Howl's Moving Castle  #1) - 37.27, The Graveyard Book - 34.68, The Kite Runner - 31.57, The Guernsey Literary and Potato Peel Pie Society - 29.84, The Great Gatsby - 23.67 
Daemon (Daemon  #1)	,  Freedom™ (Daemon  #2) - 83.96, The Hunger Games (The Hunger Games  #1) - 39.86, The Girl with the Dragon Tattoo (Millennium  #1) - 32.64, Catching Fire (The Hunger Games  #2) - 30.00, A Game of Thrones (A Song of Ice and Fire  #1) - 16.72, Ender's Game (Ender's Saga  #1) - 15.04, The Name of the Wind (The Kingkiller Chronicle  #1) - 14.54, Storm Front (The Dresden Files  #1) - 13.66, Old Man's War (Old Man's War  #1) - 12.27, Snow Crash - 11.80 
Dairy Queen (Dairy Queen  #1)	,  The Hunger Games (The Hunger Games  #1) - 69.67, The Book Thief - 56.94, If I Stay (If I Stay  #1) - 51.74, Catching Fire (The Hunger Games  #2) - 50.22, Twilight (Twilight  #1) - 49.84, Anna and the French Kiss (Anna and the French Kiss  #1) - 39.49, The Help - 38.37, Thirteen Reasons Why - 37.94, The Lightning Thief (Percy Jackson and the Olympians  #1) - 36.11, City of Bones (The Mortal Instruments  #1) - 33.68 
Daisy Miller	,  Catching Fire (The Hunger Games  #2) - 53.41, The Girl with the Dragon Tattoo (Millennium  #1) - 40.91, Pride and Prejudice - 30.93, The Hunger Games (The Hunger Games  #1) - 21.21, The Handmaid's Tale - 19.39, The Picture of Dorian Gray - 18.18, The Turn of the Screw - 14.61, Twilight (Twilight  #1) - 11.69, The Curious Incident of the Dog in the Night-Time - 11.54, To Kill a Mockingbird - 11.19 
Dance Dance Dance (The Rat  #4)	,  Norwegian Wood - 69.05, Kafka on the Shore - 69.58, A Wild Sheep Chase (The Rat  #3) - 56.56, The Wind-Up Bird Chronicle - 49.46, After Dark - 49.03, Hard-Boiled Wonderland and the End of the World - 38.23, South of the Border - West of the Sun - 36.75, Never Let Me Go - 30.71, The Hunger Games (The Hunger Games  #1) - 28.00, Sputnik Sweetheart - 25.00 
Dance Upon the Air (Three Sisters Island  #1)	,  The Hunger Games (The Hunger Games  #1) - 75.00, Catching Fire (The Hunger Games  #2) - 66.96, Twilight (Twilight  #1) - 60.00, Breaking Dawn (Twilight  #4) - 33.70, The Help - 32.41, New Moon (Twilight  #2) - 31.76, Outlander (Outlander  #1) - 27.65, City of Bones (The Mortal Instruments  #1) - 23.96, The Girl with the Dragon Tattoo (Millennium  #1) - 23.44, Dark Lover (Black Dagger Brotherhood  #1) - 22.40 
Dance with the Devil (Dark-Hunter #3)	,  Night Pleasures (Dark-Hunter #1) - 86.32, Night Play (Dark-Hunter #5 - Were-Hunter #1) - 81.77, Fantasy Lover (Dark-Hunterverse #1) - 81.25, Night Embrace (Dark-Hunter #2) - 73.70, Acheron (Dark-Hunter #14) - 62.63, Dark Lover (Black Dagger Brotherhood  #1) - 60.11, Devil May Cry (Dark-Hunter  #11) - 61.71, Lover Awakened (Black Dagger Brotherhood  #3) - 57.21, Seize the Night (Dark-Hunter #6) - 56.05, Unleash the Night (Dark Hunter  #8; Were-Hunter  #2) - 56.68 
Dandelion Wine (Green Town  #1)	,  The Book Thief - 78.33, The Hunger Games (The Hunger Games  #1) - 72.50, The Help - 65.34, The Handmaid's Tale - 60.72, The Guernsey Literary and Potato Peel Pie Society - 68.61, The Giver (The Giver  #1) - 63.94, Catching Fire (The Hunger Games  #2) - 63.16, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 63.01, The Great Gatsby - 57.69, The Catcher in the Rye - 59.68 
Danny the Champion of the World	,  The Hunger Games (The Hunger Games  #1) - 76.00, The Book Thief - 73.52, Matilda - 63.39, Catching Fire (The Hunger Games  #2) - 49.82, The Witches - 44.36, The Help - 33.40, Fantastic Mr. Fox - 32.77, The Catcher in the Rye - 31.51, The Graveyard Book - 28.99, The Secret Garden - 31.25 
Danse Macabre (Anita Blake - Vampire Hunter  #14)	,  Micah (Anita Blake - Vampire Hunter  #13) - 56.12, Narcissus in Chains (Anita Blake - Vampire Hunter  #10) - 50.20, The Harlequin (Anita Blake - Vampire Hunter #15) - 47.37, Cerulean Sins (Anita Blake - Vampire Hunter  #11) - 47.66, Blood Noir (Anita Blake - Vampire Hunter #16) - 46.74, Obsidian Butterfly (Anita Blake - Vampire Hunter  #9) - 41.57, Incubus Dreams (Anita Blake - Vampire Hunter  #12) - 38.33, Blue Moon (Anita Blake - Vampire Hunter  #8) - 36.93, Skin Trade (Anita Blake - Vampire Hunter #17) - 33.38, Bloody Bones (Anita Blake - Vampire Hunter #5) - 32.93 
Dark Desires After Dusk (Immortals After Dark #6)	,  Dark Needs at Night's Edge (Immortals After Dark #5) - 83.26, A Hunger Like No Other (Immortals After Dark #2) - 76.94, Kiss of a Demon King (Immortals After Dark #7) - 72.43, No Rest for the Wicked (Immortals After Dark #3) - 67.13, Pleasure of a Dark Prince (Immortals After Dark #9) - 64.73, Wicked Deeds on a Winter's Night (Immortals After Dark #4) - 62.59, Demon from the Dark (Immortals After Dark #10) - 54.64, Dark Lover (Black Dagger Brotherhood  #1) - 45.52, Lover Unbound (Black Dagger Brotherhood  #5) - 34.52, Halfway to the Grave (Night Huntress  #1) - 33.93 
Dark Force Rising (Star Wars: The Thrawn Trilogy  #2)	,  Heir to the Empire (Star Wars: The Thrawn Trilogy #1) - 72.41, The Last Command (Star Wars: The Thrawn Trilogy  #3) - 73.09, The Hunger Games (The Hunger Games  #1) - 10.75, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 10.14, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 9.20, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 8.14, Ender's Game (Ender's Saga  #1) - 6.24, The Name of the Wind (The Kingkiller Chronicle  #1) - 6.10, The Magicians (The Magicians #1) - 4.45, The Final Empire (Mistborn  #1) - 1.68 
Dark Life (Dark Life  #1)	,  The Hunger Games (The Hunger Games  #1) - 75.53, The Maze Runner (Maze Runner  #1) - 64.60, Catching Fire (The Hunger Games  #2) - 52.22, The Help - 42.38, The Graveyard Book - 41.78, Shiver (The Wolves of Mercy Falls  #1) - 40.46, Will Grayson - Will Grayson - 38.36, Graceling (Graceling Realm  #1) - 34.48, The Lightning Thief (Percy Jackson and the Olympians  #1) - 32.10, The Book Thief - 30.85 
Dark Lover (Black Dagger Brotherhood  #1)	,  Lover Awakened (Black Dagger Brotherhood  #3) - 81.70, Lover Eternal (Black Dagger Brotherhood  #2) - 79.14, Lover Revealed (Black Dagger Brotherhood  #4) - 62.61, Lover Unbound (Black Dagger Brotherhood  #5) - 60.60, Lover Enshrined (Black Dagger Brotherhood  #6) - 53.29, The Hunger Games (The Hunger Games  #1) - 43.15, Lover Avenged (Black Dagger Brotherhood  #7) - 42.82, Lover Mine (Black Dagger Brotherhood  #8) - 42.79, Twilight (Twilight  #1) - 32.87, City of Bones (The Mortal Instruments  #1) - 29.41 
Dark Needs at Night's Edge (Immortals After Dark #5)	,  No Rest for the Wicked (Immortals After Dark #3) - 82.27, A Hunger Like No Other (Immortals After Dark #2) - 66.71, Dark Desires After Dusk (Immortals After Dark #6) - 67.99, Kiss of a Demon King (Immortals After Dark #7) - 67.41, Wicked Deeds on a Winter's Night (Immortals After Dark #4) - 68.68, Pleasure of a Dark Prince (Immortals After Dark #9) - 61.53, Demon from the Dark (Immortals After Dark #10) - 53.74, Dark Lover (Black Dagger Brotherhood  #1) - 48.89, Lover Eternal (Black Dagger Brotherhood  #2) - 42.57, Deep Kiss of Winter (Includes: Immortals After Dark  #8; Alien Huntress  #3.5) - 40.30 
Dark Places	,  Sharp Objects - 74.92, The Hunger Games (The Hunger Games  #1) - 48.03, The Book Thief - 44.87, Catching Fire (The Hunger Games  #2) - 36.14, The Help - 33.00, The Girl with the Dragon Tattoo (Millennium  #1) - 30.17, If I Stay (If I Stay  #1) - 29.93, Paper Towns - 29.41, The Handmaid's Tale - 25.22, The Giver (The Giver  #1) - 25.21 
Dark Prince (Dark  #1)	,  Dark Lover (Black Dagger Brotherhood  #1) - 54.89, The Hunger Games (The Hunger Games  #1) - 55.05, Halfway to the Grave (Night Huntress  #1) - 42.57, Lover Awakened (Black Dagger Brotherhood  #3) - 47.20, City of Bones (The Mortal Instruments  #1) - 39.08, Darkfever (Fever  #1) - 39.65, Lover Eternal (Black Dagger Brotherhood  #2) - 42.12, One Foot in the Grave (Night Huntress  #2) - 32.86, A Hunger Like No Other (Immortals After Dark #2) - 39.05, The Darkest Night (Lords of the Underworld #1) - 35.24 
Dark Side of the Moon (Dark-Hunter #9 - Were-Hunter #3)	,  Devil May Cry (Dark-Hunter  #11) - 70.62, Night Play (Dark-Hunter #5 - Were-Hunter #1) - 64.13, Dance with the Devil (Dark-Hunter #3) - 58.31, Fantasy Lover (Dark-Hunterverse #1) - 54.73, Night Pleasures (Dark-Hunter #1) - 52.86, Unleash the Night (Dark Hunter  #8; Were-Hunter  #2) - 49.59, Acheron (Dark-Hunter #14) - 49.00, The Dream Hunter (Dark-Hunter #10 - Dream-Hunter #1) - 52.37, Upon the Midnight Clear (Dark-Hunter #12 - Dream-Hunter #2) - 45.13, Dream Chaser (Dark-Hunter #13 - Dream-Hunter #3) - 46.38 
